,%_GPST,UTC,latitude(deg),longitude(deg),height(m),x,y,Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio,sd(m),dist(m),deltay(m),deltax(m),deltaz(m)
0,2181 28636.000,2021-10-24 07:57:02,-33.951399814,18.468541443,75.3197,266063.3791478758,6240345.333546607,6,5,11.7495,6.4614,24.7625,-5.9319,8.4114,-15.8843,0.0,0.0,33.92980873096693,9.172519941584138,,,
1,2181 28637.000,2021-10-24 07:57:03,-33.951394317,18.468545825,74.9708,266063.7691413792,6240345.953265056,6,5,8.695,4.6486,18.4774,-4.4134,6.2896,-11.8775,0.0,0.0,25.273286127648696,9.716814872855384,,,
2,2181 28638.000,2021-10-24 07:57:04,-33.951394802,18.468547924,75.3525,266063.9644898705,6240345.904260395,6,5,7.2136,3.8191,15.3726,-3.6679,5.2355,-9.8877,0.0,0.0,21.01354188327137,9.34393128049298,,,
3,2181 28639.000,2021-10-24 07:57:05,-33.951400226,18.46854973,76.167,266064.1462816328,6240345.306762163,6,5,6.2957,3.3176,13.4353,-3.2037,4.5762,-8.6436,0.0,0.0,18.35937677128502,8.339308172192789,,,
4,2181 28640.000,2021-10-24 07:57:06,-33.951402614,18.468550781,75.9947,266064.2499704753,6240345.044288318,6,5,5.6549,2.9725,12.0779,-2.8789,4.1136,-7.7708,0.0,0.0,16.501043042183728,8.378133420195644,,,
5,2181 28641.000,2021-10-24 07:57:07,-33.951405025,18.46855042,75.615,266064.2232046787,6240344.776040684,6,5,5.1744,2.7164,11.0576,-2.635,3.7655,-7.1141,0.0,0.0,15.104846776448943,8.622093610274504,,,
6,2181 28642.000,2021-10-24 07:57:08,-33.951405476,18.468549574,75.5881,266064.146240195,6240344.724085724,6,5,4.7965,2.5165,10.2537,-2.4428,3.491,-6.5964,0.0,0.0,14.005155978781529,8.630255505510725,,,
7,2181 28643.000,2021-10-24 07:57:09,-33.951405465,18.468548667,75.7441,266064.0623719068,6240344.723235734,6,5,4.4888,2.3548,9.5984,-2.2863,3.267,-6.174,0.0,0.0,13.10886813306168,8.488459736003772,,,
8,2181 28644.000,2021-10-24 07:57:10,-33.951402657,18.46854859,75.2778,266064.04756407405,6240345.034518213,6,5,4.2317,2.2205,9.0502,-2.1553,3.0795,-5.8204,0.0,0.0,12.359195753769741,9.037982135380338,,,
9,2181 28645.000,2021-10-24 07:57:11,-33.951402276,18.468548719,75.2727,266064.0584446767,6240345.07707246,6,5,4.0124,2.1065,8.5823,-2.0436,2.9194,-5.5185,0.0,0.0,11.719454290622922,9.058620006350708,,,
10,2181 28646.000,2021-10-24 07:57:12,-33.951402263,18.468548163,75.198,266064.00701544597,6240345.0772454105,6,5,3.8223,2.0083,8.1763,-1.9466,2.7803,-5.2563,0.0,0.0,11.164369091444442,9.129860770218267,,,
11,2181 28647.000,2021-10-24 07:57:13,-33.951403639,18.468547366,75.4049,266063.9371135866,6240344.922802975,6,5,3.6553,1.9223,7.8194,-1.8614,2.6579,-5.0257,0.0,0.0,10.67644016514868,8.883719078448115,,,
12,2181 28648.000,2021-10-24 07:57:14,-33.951403521,18.468546493,75.4072,266063.8560950275,6240344.933898829,6,5,3.5069,1.8464,7.502,-1.7856,2.5491,-4.8205,0.0,0.0,10.242609188580808,8.890825258650311,,,
13,2181 28649.000,2021-10-24 07:57:15,-33.951404352,18.468546157,75.6332,266063.82731289987,6240344.8409589585,6,5,3.3737,1.7785,7.2171,-1.7175,2.4512,-4.6362,0.0,0.0,9.853120545289192,8.64903966895708,,,
